1password-client-0.5.1         1Password CLI client
py27-bcrypt-3.1.4_1            Modern password hashing for your software and your servers
py27-cffi-1.11.5               Foreign Function Interface for Python calling C code
py27-cryptography-2.3          Cryptographic recipes and primitives for Python developers
py27-enum34-1.1.6              Python 3.4 Enum backported to 3.3, 3.2, 3.1, 2.7
py27-idna-2.7                  Internationalized Domain Names in Applications (IDNA)
py27-ipaddress-1.0.22          Port of Python 3.3+ ipaddress module to 2.7
py27-jmespath-0.9.3            JSON Matching Expressions
py27-netaddr-0.7.19            Manipulation of IPv4, IPv6, CIDR, EUI and MAC network addresses
py27-paramiko-2.4.1            Python SSH2 protocol library
py27-pyasn1-0.4.2              ASN.1 toolkit for Python
py27-pycparser-2.18            C parser in Python
py27-pycrypto-2.6.1_3          Python Cryptography Toolkit
py27-pynacl-1.3.0              Python binding to the Networking and Cryptography library
py27-pytz-2018.7,1             World Timezone Definitions for Python
py27-setuptools-40.6.2         Python packages installer
py27-six-1.12.0                Python 2 and 3 compatibility utilities
py27-yaml-3.13                 Python YAML parser
py36-asn1crypto-0.22.0         ASN.1 library with a focus on performance and a pythonic API
py36-cairo-1.14.1              Python 2 bindings for Cairo
py36-certifi-2018.4.16         Mozilla SSL certificates
py36-cffi-1.11.5               Foreign Function Interface for Python calling C code
py36-chardet-3.0.4             Universal encoding detector for Python 2 and 3
py36-cryptography-2.3          Cryptographic recipes and primitives for Python developers
py36-gobject3-3.28.3           Common files for the Python bindings for GObject
py36-httpie-0.9.9              Command line HTTP client
py36-idna-2.7                  Internationalized Domain Names in Applications (IDNA)
py36-openssl-17.5.0_1          Python interface to the OpenSSL library
py36-pycparser-2.18            C parser in Python
py36-pygments-2.2.0            Syntax highlighter written in Python
py36-pysocks-1.6.8             Python SOCKS module
py36-requests-2.18.4_1         HTTP library written in Python for human beings
py36-setuptools-40.6.2         Python packages installer
py36-six-1.12.0                Python 2 and 3 compatibility utilities
py36-urllib3-1.22,1            HTTP library with thread-safe connection pooling, file post, and more
pygobject3-common-3.28.3       Common files for the Python bindings for GObject
python27-2.7.15                Interpreted object-oriented programming language
python36-3.6.7                 Interpreted object-oriented programming language
rcm-1.3.3                      RC file (dotfile) management
re2-20180901                   Fast C++ regex library
readline-7.0.5                 Library for editing command lines as they are typed
redshift-1.12                  Adjusts the color temperature of your screen
rhino-1.7.r4                   Implementation of JavaScript written in Java
ripgrep-0.9.0_3                Command line search tool
rofi-1.5.1_1                   Window switcher, run dialog and dmenu replacement
ruby-2.4.5,1                   Object-oriented interpreted scripting language
sessreg-1.1.1                  Manage utmp/wtmp entries for non-init X clients
setxkbmap-1.3.1                Set the keyboard using the X Keyboard Extension
shared-mime-info-1.8           MIME types database from the freedesktop.org project
slf4j-1.7.21                   Simple facade or abstraction for various logging frameworks
slim-1.3.6_16                  Graphical login manager for X11, derived from Login.app
slim-themes-1.0.1_1            Theme pack for SLiM login app
slock-1.4_2                    Simple X screen locker
smproxy-1.0.6                  Session Manager Proxy
snappy-1.1.6                   Fast compressor/decompressor library
snort-2.9.11.1_1               Lightweight network intrusion detection system
speech-dispatcher-0.8.6        Common interface to speech synthesis
speex-1.2.0,1                  Audio compression format designed for speech
speexdsp-1.2.r3_1              Audio compression format designed for speech
spidermonkey52-52.9.0_1        Standalone JavaScript based from Mozilla 52-esr
sql-workbench-118              DBMS-independent, cross-platform SQL query tool
sqlite3-3.26.0                 SQL database engine in a C library
st-1.9_2                       State Threads Library for Internet Applications
stalonetray-0.8.3              STAnd-aLONE system tray
startup-notification-0.12_4    Library that supports startup notification spec from freedesktop.org
sterm-0.8.1                    Simple X terminal
tcl86-8.6.8                    Tool Command Language
tex-kpathsea-6.2.1_2           Path searching library for TeX
tex-synctex-1.17.0_1           Synchronization TeXnology parser library
the_silver_searcher-2.2.0      Code-searching tool similar to ack but faster
thunderbird-60.4.0_1           Mozilla Thunderbird is standalone mail and news that stands above
tiff-4.0.10                    Tools and library routines for working with TIFF images
tmux-2.7                       Terminal Multiplexer
tolua++-1.0.93_3               Extended version of tolua, a tool to integrate C/C++ code with Lua
tpm-emulator-0.7.4_2           Trusted Platform Module (TPM) emulator
trousers-0.3.14_2              Open-source TCG Software Stack
twm-1.0.10                     Tab Window Manager for the X Window System
u2f-devd-1.0.0_1               Devd hotplug rules for Universal 2nd Factor (U2F) tokens
universal-ctags-g20180912      Fork of Exuberant Ctags to generate index/tag files
unixODBC-2.3.7                 ODBC library suite for Unix
urwfonts-1.0_7                 Another font package for X
usql-0.7.0                     Universal command-line interface for SQL databases
v4l_compat-1.6.3_3             Video4Linux IOCTL header files
vim-8.1.0342                   Improved version of the vi editor
wayland-1.16.0                 Wayland composite "server"
wayland-protocols-1.16         Wayland protocols
webcamd-4.17.0.3_1             Port of Linux USB webcam and DVB drivers into userspace
webp-1.0.1_1                   Google WebP image format conversion tool
weechat-2.2                    Lightweight and user friendly ncurses based IRC client
wmname-0.1_2                   Prints/sets the window manager name property of the root window
x11perf-1.6.0                  X11 server performance test program
x265-2.8_1                     H.265/High Efficiency Video Coding (HEVC) format
xalan-j-2.7.2                  Apache XSLT processor for transforming XML documents
xauth-1.0.10                   X authority file utility
xautolock-2.2_1                Activate xlock after a user defined time of inactivity
xbacklight-1.2.2               Program to adjust backlight brightness
xbitmaps-1.1.2                 X.Org bitmaps data
xcalc-1.0.6_2                  Scientific calculator for X
xcb-util-0.4.0_2,1             Module with libxcb/libX11 extension/replacement libraries
xcb-util-renderutil-0.3.9_1    Convenience functions for the Render extension
xcb-util-wm-0.4.1_3            Framework for window manager implementation
xcb-util-xrm-1.0               XCB utility functions for the X resource manager
xclip-0.13                     Interface to X selections ("the clipboard") from the command line
xclock-1.0.7_2                 Analog and digital clock for X
xcmsdb-1.0.5                   Device Color Characterization utility for X
xconsole-1.0.7_1               Monitor system console messages with X
xcursor-themes-1.0.5_2         X.org cursors themes
xcursorgen-1.0.6_3             Create an X cursor file from a collection of PNG images
xdg-utils-1.1.1                Tools to allow all applications to integrate with the free desktop
xdm-1.1.11_8                   X.Org X display manager
xdpyinfo-1.3.2_2               Display information utility for X
xdriinfo-1.0.6_3               Query configuration information of DRI drivers
xerces-j-2.12.0                XML parser for Java
xev-1.2.2                      Print contents of X events
xf86-input-evdev-2.10.6_3      X.Org event device input driver
xf86-input-keyboard-1.9.0_3    X.Org keyboard input driver
xf86-input-libinput-0.25.0_2   X.Org libinput input driver
xf86-input-mouse-1.9.3_2       X.Org mouse input driver
xf86-input-synaptics-1.9.1_3   X.Org synaptics input driver
xf86-video-intel-2.99.917.20180512_2 Driver for Intel integrated graphics chipsets
xf86-video-scfb-0.0.4_7        X.Org syscons display driver
xf86-video-vesa-2.4.0_2        X.Org vesa display driver
xf86dga-1.0.3_1                Test program for the XFree86-DGA extension
xgamma-1.0.6                   Gamma correction through the X server
xgc-1.0.5                      X graphics demo
xhost-1.0.7                    Server access control program for X
xinit-1.4.0,1                  X Window System initializer
xinput-1.6.2_2                 Very useful utility for configuring and testing XInput devices
xkbcomp-1.4.2                  Compile XKB keyboard description
xkbevd-1.1.4                   XKB event daemon
xkbutils-1.0.4_2               XKB utility demos
xkeyboard-config-2.24_1        X Keyboard Configuration Database
xkill-1.0.5                    Utility for killing a client by its X resource
xlockmore-5.55                 Like XLock session locker/screen saver, but just more
xlsatoms-1.1.2                 List interned atoms defined on a server
xlsclients-1.1.4               List client applications running on a display
xmessage-1.0.5                 Display message or query in a X window
xmlcatmgr-2.2_2                SGML and XML catalog manager
xmlgraphics-commons-1.5        Several reusable components used by Apache Batik and FOP
xmodmap-1.0.9                  Utility for modifying keymaps and pointer button mappings in X
xorg-7.7_3                     X.Org complete distribution metaport
xorg-apps-7.7_2                X.org apps meta-port
xorg-docs-1.7.1,1              X.org documentation files
xorg-drivers-7.7_5             X.org drivers meta-port
xorg-fonts-7.7_1               X.org fonts meta-port
xorg-fonts-100dpi-7.7          X.Org 100dpi bitmap fonts
xorg-fonts-75dpi-7.7           X.Org 75dpi bitmap fonts
xorg-fonts-cyrillic-7.7        X.Org Cyrillic bitmap fonts
xorg-fonts-miscbitmaps-7.7     X.Org miscellaneous bitmap fonts
xorg-fonts-truetype-7.7_1      X.Org TrueType fonts
xorg-fonts-type1-7.7           X.Org Type1 fonts
xorg-libraries-7.7_2           X.org libraries meta-port
xorg-server-1.18.4_10,1        X.Org X server and related programs
xorgproto-2018.4               xorg protocol headers
xpr-1.0.5                      Utility for printing an X window dump
xprop-1.2.3                    Property displayer for X
xrandr-1.5.0                   Primitive command line interface to the RandR extension
xrdb-1.1.1                     X server resource database utility
xrefresh-1.0.6                 Refresh all or part of an X screen
xscreensaver-5.40_1            Save your screen while you entertain your cat
xset-1.2.4_2                   User preference utility for X
xsetmode-1.0.0                 Set the mode for an X Input Device
xsetroot-1.1.2                 Root window parameter setting utility for X
xstream-1.4.3                  Simple library to serialize Java objects to XML
xterm-337                      Terminal emulator for the X Window System
xtrans-1.3.5                   Abstract network code for X
xvid-1.3.5,1                   Opensource MPEG-4 codec, based on OpenDivx
xvinfo-1.1.3                   Print out X-Video extension adaptor information
xwd-1.0.7                      Dump an image of an X window
xwininfo-1.1.4_2               Window information utility for X
xwud-1.0.5                     Image displayer for X
ykclient-2.12_2                Yubico C client library
ykpers-1.18.0_2                Library and tool for personalization of Yubico's YubiKey
zathura-0.4.1_1                Customizable lightweight pdf viewer
zathura-pdf-poppler-0.2.9_2    Poppler render PDF plugin for Zathura PDF viewer
